Region_Code;Region Name;Sub-region Code;Sub-region Name;ISO_alpha2_Code
2;Africa;15;Northern Africa;DZ
2;Africa;15;Northern Africa;EG
2;Africa;15;Northern Africa;LY
2;Africa;15;Northern Africa;MA
2;Africa;15;Northern Africa;SD
2;Africa;15;Northern Africa;TN
2;Africa;15;Northern Africa;EH
2;Africa;202;Sub-Saharan Africa;IO
2;Africa;202;Sub-Saharan Africa;BI
2;Africa;202;Sub-Saharan Africa;KM
2;Africa;202;Sub-Saharan Africa;DJ
2;Africa;202;Sub-Saharan Africa;ER
2;Africa;202;Sub-Saharan Africa;ET
2;Africa;202;Sub-Saharan Africa;TF
2;Africa;202;Sub-Saharan Africa;KE
2;Africa;202;Sub-Saharan Africa;MG
2;Africa;202;Sub-Saharan Africa;MW
2;Africa;202;Sub-Saharan Africa;MU
2;Africa;202;Sub-Saharan Africa;YT
2;Africa;202;Sub-Saharan Africa;MZ
2;Africa;202;Sub-Saharan Africa;RE
2;Africa;202;Sub-Saharan Africa;RW
2;Africa;202;Sub-Saharan Africa;SC
2;Africa;202;Sub-Saharan Africa;SO
2;Africa;202;Sub-Saharan Africa;SS
2;Africa;202;Sub-Saharan Africa;UG
2;Africa;202;Sub-Saharan Africa;TZ
2;Africa;202;Sub-Saharan Africa;ZM
2;Africa;202;Sub-Saharan Africa;ZW
2;Africa;202;Sub-Saharan Africa;AO
2;Africa;202;Sub-Saharan Africa;CM
2;Africa;202;Sub-Saharan Africa;CF
2;Africa;202;Sub-Saharan Africa;TD
2;Africa;202;Sub-Saharan Africa;CG
2;Africa;202;Sub-Saharan Africa;CD
2;Africa;202;Sub-Saharan Africa;GQ
2;Africa;202;Sub-Saharan Africa;GA
2;Africa;202;Sub-Saharan Africa;ST
2;Africa;202;Sub-Saharan Africa;BW
2;Africa;202;Sub-Saharan Africa;SZ
2;Africa;202;Sub-Saharan Africa;LS
2;Africa;202;Sub-Saharan Africa;NA
2;Africa;202;Sub-Saharan Africa;ZA
2;Africa;202;Sub-Saharan Africa;BJ
2;Africa;202;Sub-Saharan Africa;BF
2;Africa;202;Sub-Saharan Africa;CV
2;Africa;202;Sub-Saharan Africa;CI
2;Africa;202;Sub-Saharan Africa;GM
2;Africa;202;Sub-Saharan Africa;GH
2;Africa;202;Sub-Saharan Africa;GN
2;Africa;202;Sub-Saharan Africa;GW
2;Africa;202;Sub-Saharan Africa;LR
2;Africa;202;Sub-Saharan Africa;ML
2;Africa;202;Sub-Saharan Africa;MR
2;Africa;202;Sub-Saharan Africa;NE
2;Africa;202;Sub-Saharan Africa;NG
2;Africa;202;Sub-Saharan Africa;SH
2;Africa;202;Sub-Saharan Africa;SN
2;Africa;202;Sub-Saharan Africa;SL
2;Africa;202;Sub-Saharan Africa;TG
19;Americas;419;Latin America and the Caribbean;AI
19;Americas;419;Latin America and the Caribbean;AG
19;Americas;419;Latin America and the Caribbean;AW
19;Americas;419;Latin America and the Caribbean;BS
19;Americas;419;Latin America and the Caribbean;BB
19;Americas;419;Latin America and the Caribbean;BQ
19;Americas;419;Latin America and the Caribbean;VG
19;Americas;419;Latin America and the Caribbean;KY
19;Americas;419;Latin America and the Caribbean;CU
19;Americas;419;Latin America and the Caribbean;CW
19;Americas;419;Latin America and the Caribbean;DM
19;Americas;419;Latin America and the Caribbean;DO
19;Americas;419;Latin America and the Caribbean;GD
19;Americas;419;Latin America and the Caribbean;GP
19;Americas;419;Latin America and the Caribbean;HT
19;Americas;419;Latin America and the Caribbean;JM
19;Americas;419;Latin America and the Caribbean;MQ
19;Americas;419;Latin America and the Caribbean;MS
19;Americas;419;Latin America and the Caribbean;PR
19;Americas;419;Latin America and the Caribbean;BL
19;Americas;419;Latin America and the Caribbean;KN
19;Americas;419;Latin America and the Caribbean;LC
19;Americas;419;Latin America and the Caribbean;MF
19;Americas;419;Latin America and the Caribbean;VC
19;Americas;419;Latin America and the Caribbean;SX
19;Americas;419;Latin America and the Caribbean;TT
19;Americas;419;Latin America and the Caribbean;TC
19;Americas;419;Latin America and the Caribbean;VI
19;Americas;419;Latin America and the Caribbean;BZ
19;Americas;419;Latin America and the Caribbean;CR
19;Americas;419;Latin America and the Caribbean;SV
19;Americas;419;Latin America and the Caribbean;GT
19;Americas;419;Latin America and the Caribbean;HN
19;Americas;419;Latin America and the Caribbean;MX
19;Americas;419;Latin America and the Caribbean;NI
19;Americas;419;Latin America and the Caribbean;PA
19;Americas;419;Latin America and the Caribbean;AR
19;Americas;419;Latin America and the Caribbean;BO
19;Americas;419;Latin America and the Caribbean;BV
19;Americas;419;Latin America and the Caribbean;BR
19;Americas;419;Latin America and the Caribbean;CL
19;Americas;419;Latin America and the Caribbean;CO
19;Americas;419;Latin America and the Caribbean;EC
19;Americas;419;Latin America and the Caribbean;FK
19;Americas;419;Latin America and the Caribbean;GF
19;Americas;419;Latin America and the Caribbean;GY
19;Americas;419;Latin America and the Caribbean;PY
19;Americas;419;Latin America and the Caribbean;PE
19;Americas;419;Latin America and the Caribbean;GS
19;Americas;419;Latin America and the Caribbean;SR
19;Americas;419;Latin America and the Caribbean;UY
19;Americas;419;Latin America and the Caribbean;VE
19;Americas;21;Northern America;BM
19;Americas;21;Northern America;CA
19;Americas;21;Northern America;GL
19;Americas;21;Northern America;PM
19;Americas;21;Northern America;US
;;;;AQ
142;Asia;143;Central Asia;KZ
142;Asia;143;Central Asia;KG
142;Asia;143;Central Asia;TJ
142;Asia;143;Central Asia;TM
142;Asia;143;Central Asia;UZ
142;Asia;30;Eastern Asia;CN
142;Asia;30;Eastern Asia;HK
142;Asia;30;Eastern Asia;MO
142;Asia;30;Eastern Asia;KP
142;Asia;30;Eastern Asia;JP
142;Asia;30;Eastern Asia;MN
142;Asia;30;Eastern Asia;KR
142;Asia;35;South-eastern Asia;BN
142;Asia;35;South-eastern Asia;KH
