"","scientificName","countryCode","year"
"1","Ocimum basilicum L.","PG",1970
"2","Ocimum basilicum L.","PG",1981
"3","Ocimum basilicum L.","PG",1980
"4","Ocimum basilicum L.","PG",1972
"5","Ocimum basilicum L.","PG",1980
"6","Ocimum basilicum L.","PG",1970
"7","Ocimum basilicum L.","PG",1918
"8","Ocimum basilicum L.","PG",1954
"9","Ocimum basilicum L.","SE",2006
"10","Ocimum basilicum L.","DE",2011
"11","Ocimum basilicum L.","ES",2012
"12","Ocimum basilicum L.","ES",2013
"13","Ocimum basilicum L.","DE",2013
"14","Ocimum basilicum L.","DE",2011
"15","Ocimum basilicum L.","CN",1936
"16","Ocimum basilicum L.","CN",1936
"17","Ocimum basilicum L.","CN",1936
"18","Ocimum basilicum L.","CN",1936
"19","Ocimum basilicum L.","MY",1995
"20","Ocimum basilicum L.","MY",1951
"21","Ocimum basilicum L.","CX",1997
"22","Ocimum basilicum L.","MY",1947
"23","Ocimum basilicum L.","MY",1985
"24","Ocimum basilicum L.","ID",1894
"25","Ocimum citrodorum Blanco","PG",1969
"26","Ocimum citrodorum Blanco","PG",1971
"27","Ocimum citrodorum Blanco","PG",1926
"28","Ocimum citrodorum Blanco","PG",1933
"29","Ocimum citrodorum Blanco","PG",1931
"30","Ocimum basilicum L.","YE",1999
"31","Ocimum basilicum L.","ES",1988
"32","Ocimum basilicum L.","ES",1992
"33","Ocimum basilicum L.","ES",1985
"34","Ocimum basilicum L.","ES",2010
"35","Ocimum basilicum L.","TW",1931
"36","Ocimum basilicum L.","TW",1915
"37","Ocimum basilicum L.","TW",1963
"38","Ocimum basilicum L.","TW",1963
"39","Ocimum basilicum L.","TW",1966
"40","Ocimum basilicum L.","TW",1981
"41","Ocimum basilicum L.","TW",1981
"42","Ocimum basilicum L.","TW",1967
"43","Ocimum basilicum L.","TW",1967
"44","Ocimum basilicum L.","TW",1973
"45","Ocimum basilicum L.","TW",1982
"46","Ocimum basilicum L.","TW",1970
"47","Ocimum basilicum L.","TW",1970
"48","Ocimum basilicum L.","TW",1973
"49","Ocimum basilicum L.","TW",1967
"50","Ocimum basilicum L.","TW",1994
"51","Ocimum basilicum L.","PH",1994
"52","Ocimum basilicum L.","BJ",2013
"53","Ocimum basilicum L.","BJ",2013
"54","Ocimum basilicum L.","BJ",2013
"55","Ocimum basilicum L.","SE",2004
"56","Ocimum basilicum L.","SE",2003
"57","Ocimum basilicum L.","BE",2005
"58","Ocimum basilicum L.","SE",2012
"59","Ocimum basilicum L.","SE",2012
"60","Ocimum basilicum L.","SE",2005
"61","Ocimum basilicum L.","SE",2004
"62","Ocimum basilicum L.","SE",2011
"63","Ocimum basilicum L.","SE",2006
"64","Ocimum basilicum L.","SE",2010
"65","Ocimum basilicum L.","SE",2005
"66","Ocimum basilicum L.","SE",2002
"67","Ocimum basilicum L.","SE",2002
"68","Ocimum basilicum L.","SE",2002
"69","Ocimum basilicum L.","SE",2006
"70","Ocimum basilicum L.","SE",2005
"71","Ocimum basilicum L.","SE",2005
"72","Ocimum basilicum L.","SE",2005
"73","Ocimum basilicum L.","SE",2005
"74","Ocimum basilicum L.","SE",2005
"75","Ocimum basilicum L.","SE",2005
"76","Ocimum basilicum L.","SE",2005
"77","Ocimum basilicum L.","SE",2005
"78","Ocimum basilicum L.","SE",2004
"79","Ocimum basilicum L.","SE",2004
"80","Ocimum basilicum L.","MZ",1944
"81","Ocimum basilicum L.","DE",1946
"82","Ocimum basilicum L.","DE",1946
"83","Ocimum basilicum L.","GR",1993
"84","Ocimum basilicum L.","GR",1981
"85","Ocimum basilicum L.","GR",1981
"86","Ocimum basilicum L.","SD",1839
"87","Ocimum basilicum L.","CO",2012
"88","Ocimum basilicum L.","IN",1994
"89","Ocimum basilicum L.","IN",1994
"90","Ocimum basilicum L.","IN",1984
"91","Ocimum basilicum L.","US",1941
"92","Ocimum basilicum L.","US",1941
"93","Ocimum basilicum L.","AU",1977
"94","Ocimum basilicum L.","US",1968
"95","Ocimum basilicum L.","US",1899
"96","Ocimum basilicum L.","US",1968
"97","Ocimum basilicum L.","US",1915
"98","Ocimum basilicum L.","BF",1994
"99","Ocimum basilicum L.","SN",1993
"100","Ocimum minimum L.","EC",1983
"101","Ocimum basilicum L.","MX",2021
"102","Ocimum basilicum L.","MX",2023
"103","Ocimum basilicum L.","MX",2022
"104","Ocimum basilicum L.","MX",2021
"105","Ocimum basilicum L.","MX",2021
"106","Ocimum basilicum L.","CO",2015
"107","Ocimum basilicum L.","CO",1980
"108","Ocimum basilicum L.","CO",2014
"109","Ocimum basilicum L.","CO",2022
"110","Ocimum basilicum L.","CO",2022
"111","Ocimum basilicum L.","CO",2022
"112","Ocimum basilicum L.","CO",2022
"113","Ocimum basilicum L.","CO",2022
"114","Ocimum basilicum L.","CO",2022
"115","Ocimum basilicum L.","CO",2022
"116","Ocimum basilicum L.","CO",2022
"117","Ocimum basilicum L.","CO",2022
"118","Ocimum basilicum L.","CO",2022
"119","Ocimum basilicum L.","CO",2022
"120","Ocimum basilicum L.","CO",2022
"121","Ocimum basilicum L.","CO",2021
"122","Ocimum basilicum L.","BR",2022
"123","Ocimum basilicum L.","BR",2022
"124","Ocimum basilicum L.","BR",2005
"125","Ocimum basilicum L.","BR",2005
"126","Ocimum basilicum L.","MX",2023
"127","Ocimum basilicum L.","MX",2023
"128","Ocimum basilicum L.","IN",2023
"129","Ocimum basilicum L.","IQ",2023
"130","Ocimum basilicum L.","TZ",1971
"131","Ocimum basilicum L.","MX",2023
"132","Ocimum basilicum L.","MX",2023
"133","Ocimum basilicum L.","MX",2023
"134","Ocimum basilicum L.","MX",2017
"135","Ocimum basilicum L.","MX",2020
"136","Ocimum basilicum L.","DE",2023
"137","Ocimum basilicum L.","MX",2023
"138","Ocimum basilicum L.","MX",2023
"139","Ocimum basilicum L.","BR",2022
"140","Ocimum basilicum L.","BR",2003
"141","Ocimum minimum L.","BR",2022
"142","Ocimum minimum L.","BR",2012
"143","Ocimum minimum L.","BR",2022
"144","Ocimum basilicum L.","BR",2000
"145","Ocimum basilicum L.","BR",2000
"146","Ocimum basilicum L.","BR",2000
"147","Ocimum basilicum L.","BR",2017
"148","Ocimum basilicum L.","BR",2001
"149","Ocimum basilicum L.","BR",2001
"150","Ocimum basilicum L.","BR",2022
"151","Ocimum basilicum L.","BR",1996
"152","Ocimum basilicum L.","BR",2019
"153","Ocimum basilicum L.","BR",1992
"154","Ocimum basilicum L.","BR",1992
"155","Ocimum basilicum L.","BR",2007
"156","Ocimum basilicum L.","DE",2023
"157","Ocimum basilicum L.","ES",2022
"158","Ocimum basilicum L.","UA",2012
"159","Ocimum basilicum L.","PT",2023
"160","Ocimum basilicum L.","ES",2023
"161","Ocimum basilicum L.","EC",2023
"162","Ocimum basilicum L.","US",1949
"163","Ocimum basilicum L.","CL",2014
"164","Ocimum basilicum L.","CL",2014
"165","Ocimum basilicum L.","CL",2012
"166","Ocimum basilicum L.","CL",2012
"167","Ocimum basilicum L.","CL",2013
"168","Ocimum basilicum L.","CL",2012
"169","Ocimum basilicum L.","CL",2012
"170","Ocimum basilicum L.","CL",2013
"171","Ocimum basilicum L.","CL",2012
"172","Ocimum basilicum L.","CL",2011
"173","Ocimum basilicum L.","CL",2012
"174","Ocimum basilicum L.","CL",2013
"175","Ocimum basilicum L.","DK",2023
"176","Ocimum basilicum L.","CN",2023
"177","Ocimum basilicum L.","NC",1969
"178","Ocimum basilicum L.","NC",1974
"179","Ocimum basilicum L.","AO",1933
"180","Ocimum basilicum L.","PY",1875
"181","Ocimum basilicum L.","NC",1981
"182","Ocimum basilicum L.","NC",1973
"183","Ocimum basilicum L.","NC",1971
"184","Ocimum basilicum L.","NC",1969
"185","Ocimum basilicum L.","AO",1937
"186","Ocimum basilicum L.","AO",1937
"187","Ocimum basilicum L.","NC",1971
"188","Ocimum basilicum L.","CH",2023
"189","Ocimum basilicum L.","CH",2023
"190","Ocimum basilicum L.","CH",2023
"191","Ocimum basilicum L.","CH",2023
"192","Ocimum basilicum L.","CH",2023
"193","Ocimum basilicum L.","CH",2023
"194","Ocimum basilicum L.","CH",2023
"195","Ocimum basilicum L.","CH",2023
"196","Ocimum basilicum L.","CH",2023
"197","Ocimum basilicum L.","CH",2023
"198","Ocimum basilicum L.","CH",2023
"199","Ocimum basilicum L.","CH",2023
"200","Ocimum basilicum L.","CH",2023
"201","Ocimum basilicum L.","CH",2023
"202","Ocimum basilicum L.","CH",2023
"203","Ocimum basilicum L.","SE",2023
"204","Ocimum basilicum L.","SE",2023
"205","Ocimum basilicum L.","DE",2022
"206","Ocimum basilicum L.","DE",2022
"207","Ocimum basilicum L.","DE",2023
"208","Ocimum basilicum L.","MX",1991
"209","Ocimum basilicum L.","CA",2023
"210","Ocimum basilicum L.","BR",2023
"211","Ocimum basilicum L.","MX",1966
"212","Ocimum basilicum L.","MX",1988
"213","Ocimum minimum L.","BR",2023
"214","Ocimum basilicum L.","BR",2014
"215","Ocimum minimum L.","BR",2000
"216","Ocimum basilicum L.","BR",2017
"217","Ocimum basilicum L.","BR",2016
"218","Ocimum basilicum L.","PK",2023
"219","Ocimum basilicum L.","FR",2018
"220","Ocimum basilicum L.","TH",2023
"221","Ocimum basilicum L.","UA",2023
"222","Ocimum basilicum L.","RU",2021
"223","Ocimum basilicum L.","IN",2023
"224","Ocimum basilicum L.","EC",2021
"225","Ocimum basilicum L.","IN",2023
"226","Ocimum basilicum L.","TT",2012
"227","Ocimum basilicum L.","JM",2015
"228","Ocimum basilicum L.","ZA",2020
"229","Ocimum basilicum L.","ZA",2014
"230","Ocimum basilicum L.","NZ",2023
"231","Ocimum basilicum L.","MX",2023
"232","Ocimum basilicum L.","MX",2023
"233","Ocimum basilicum L.","MX",2023
"234","Ocimum basilicum L.","IN",2021
"235","Ocimum basilicum L.","CV",2023
"236","Ocimum basilicum L.","MX",2023
"237","Ocimum basilicum L.","MX",2023
"238","Ocimum basilicum L.","BR",2023
"239","Ocimum basilicum L.","MX",2023
"240","Ocimum basilicum L.","BR",2022
"241","Ocimum basilicum L.","MX",2023
"242","Ocimum basilicum L.","MX",2023
"243","Ocimum basilicum L.","MO",2023
"244","Ocimum basilicum L.","TH",2023
"245","Ocimum basilicum L.","BR",2023
"246","Ocimum basilicum L.","US",1996
"247","Ocimum basilicum L.","ES",2023
"248","Ocimum basilicum L.","TW",2023
"249","Ocimum basilicum L.","MX",2023
"250","Ocimum basilicum L.","US",2016
"251","Ocimum basilicum L.","US",1994
"252","Ocimum basilicum L.","PK",2008
"253","Ocimum basilicum L.","PK",2017
"254","Ocimum basilicum L.","EC",1990
"255","Ocimum basilicum L.","MX",2023
"256","Ocimum basilicum L.","MX",2023
"257","Ocimum basilicum L.","TW",2020
"258","Ocimum basilicum L.","MX",2023
"259","Ocimum basilicum L.","MX",2023
"260","Ocimum basilicum L.","PR",2023
"261","Ocimum basilicum L.","SG",2023
"262","Ocimum basilicum L.","PG",1979
"263","Ocimum basilicum L.","EC",2020
"264","Ocimum basilicum L.","EC",2017
"265","Ocimum basilicum L.","EC",2015
"266","Ocimum basilicum L.","EC",2009
"267","Ocimum basilicum L.","US",1964
"268","Ocimum basilicum L.","MX",2023
"269","Ocimum basilicum L.","NZ",2023
"270","Ocimum basilicum L.","GN",2011
"271","Ocimum basilicum L.","TG",1985
"272","Ocimum basilicum L.","CM",1975
"273","Ocimum basilicum L.","CM",1963
"274","Ocimum basilicum L.","CM",1975
"275","Ocimum basilicum L.","CM",1977
"276","Ocimum basilicum L.","CM",1966
"277","Ocimum basilicum L.","BJ",1999
"278","Ocimum basilicum L.","BJ",2003
"279","Ocimum basilicum L.","TG",1983
"280","Ocimum basilicum L.","TG",1978
"281","Ocimum basilicum L.","TG",1986
"282","Ocimum basilicum L.","CM",1978
"283","Ocimum basilicum L.","CM",1977
"284","Ocimum basilicum L.","CM",1963
