"","scientificName","countryCode","year"
"1","Allium cepa L.","SE",1982
"2","Allium cepa L.","SE",2014
"3","Allium cepa L.","SE",2014
"4","Allium cepa L.","AT",1890
"5","Allium cepa L.","DE",2011
"6","Allium cepa L.","NL",2007
"7","Allium cepa L.","DE",2010
"8","Allium cepa var. viviparum (Metz) Mansf.","DE",2012
"9","Allium cepa L.","DE",2009
"10","Allium cepa var. viviparum (Metz) Mansf.","DE",2013
"11","Allium cepa L.","DE",2012
"12","Allium cepa L.","DE",2011
"13","Allium cepa L.","ES",2006
"14","Allium cepa L.","NO",2003
"15","Allium cepa L.","NO",2003
"16","Allium cepa L.","NO",2006
"17","Allium cepa L.","NO",2004
"18","Allium cepa L.","NO",2002
"19","Allium cepa L.","SE",2014
"20","Allium cepa L.","SE",2014
"21","Allium cepa L.","ES",2002
"22","Allium cepa L.","BJ",2013
"23","Allium cepa L.","SE",2013
"24","Allium cepa L.","SE",2013
"25","Allium cepa L.","SE",2013
"26","Allium cepa L.","SE",2011
"27","Allium cepa L.","SE",1997
"28","Allium cepa L.","SE",1985
"29","Allium cepa L.","SE",2004
"30","Allium cepa L.","SE",2012
"31","Allium cepa L.","SE",2012
"32","Allium cepa L.","SE",2012
"33","Allium cepa L.","SE",2012
"34","Allium cepa L.","SE",2012
"35","Allium cepa L.","SE",2012
"36","Allium cepa L.","SE",2011
"37","Allium cepa L.","SE",2011
"38","Allium cepa L.","SE",2011
"39","Allium cepa L.","SE",2011
"40","Allium cepa L.","SE",2002
"41","Allium cepa L.","SE",2011
"42","Allium cepa L.","SE",1991
"43","Allium cepa L.","SE",1992
"44","Allium cepa L.","SE",2011
"45","Allium cepa L.","SE",1992
"46","Allium cepa L.","SE",2011
"47","Allium cepa L.","SE",2011
"48","Allium cepa L.","SE",2011
"49","Allium cepa L.","SE",2011
"50","Allium cepa L.","SE",2011
"51","Allium cepa L.","SE",1990
"52","Allium cepa L.","SE",2007
"53","Allium cepa L.","SE",1998
"54","Allium cepa L.","SE",2010
"55","Allium cepa L.","SE",2010
"56","Allium cepa L.","SE",2010
"57","Allium cepa L.","SE",2010
"58","Allium cepa L.","SE",2010
"59","Allium cepa L.","SE",2010
"60","Allium cepa L.","SE",2010
"61","Allium cepa L.","SE",2010
"62","Allium cepa L.","SE",2009
"63","Allium cepa L.","SE",2000
"64","Allium cepa L.","SE",2004
"65","Allium cepa L.","SE",2009
"66","Allium cepa L.","SE",2007
"67","Allium cepa L.","SE",2004
"68","Allium cepa L.","SE",2009
"69","Allium cepa L.","SE",2003
