"","scientificName","countryCode","year"
"1","Capsicum annuum L.","SE",2014
"2","Capsicum geminifolium (Dammer) Hunz.","PE",2009
"3","Capsicum annuum var. glabriusculum (Dunal) Heiser & Pickersgill","PE",2013
"4","Capsicum pubescens Ruiz & Pav.","PE",2009
"5","Capsicum L.","PG",1966
"6","Capsicum L.","PG",1954
"7","Capsicum L.","PG",1967
"8","Capsicum L.","PG",1963
"9","Capsicum frutescens L.","PG",1977
"10","Capsicum frutescens L.","PG",1972
"11","Capsicum annuum L.","NC",1981
"12","Capsicum annuum L.","NC",1981
"13","Capsicum L.","CO",2005
"14","Capsicum L.","CO",1999
"15","Capsicum dimorphum (Miers) Kuntze","CO",2010
"16","Capsicum rhomboideum (Dunal) Kuntze","CO",2005
"17","Capsicum rhomboideum (Dunal) Kuntze","CO",2009
"18","Capsicum dimorphum (Miers) Kuntze","CO",2001
"19","Capsicum annuum L.","AT",1915
"20","Capsicum annuum var. aviculare (Dierb.) D' Arcy & Eschbaugh","CO",2013
"21","Capsicum annuum L.","DE",2013
"22","Capsicum annuum L.","DE",2010
"23","Capsicum annuum var. grossum (L.) Sendtn.","TR",2011
"24","Capsicum frutescens L.","LK",2012
"25","Capsicum annuum L.","DE",2009
"26","Capsicum annuum L.","DE",2012
"27","Capsicum annuum L.","ES",2010
"28","Capsicum frutescens L.","CN",1978
"29","Capsicum annuum var. conoides (Mill.) Irish","CN",1936
"30","Capsicum annuum var. conoides (Mill.) Irish","CN",1958
"31","Capsicum annuum var. conoides (Mill.) Irish","CN",1936
"32","Capsicum annuum var. conoides (Mill.) Irish","CN",1953
"33","Capsicum frutescens L.","CN",1984
"34","Capsicum annuum var. conoides (Mill.) Irish","CN",1953
"35","Capsicum annuum var. longum (DC.) Sendtn.","CN",1953
"36","Capsicum annuum var. conoides (Mill.) Irish","CN",1953
"37","Capsicum annuum var. conoides (Mill.) Irish","CN",1953
"38","Capsicum annuum var. conoides (Mill.) Irish","CN",1936
"39","Capsicum frutescens L.","CN",1940
"40","Capsicum L.","CN",1983
"41","Capsicum annuum var. conoides (Mill.) Irish","CN",1953
"42","Capsicum annuum var. conoides (Mill.) Irish","CN",1955
"43","Capsicum annuum var. conoides (Mill.) Irish","CN",1941
"44","Capsicum annuum var. conoides (Mill.) Irish","CN",1952
"45","Capsicum annuum var. conoides (Mill.) Irish","CN",1953
"46","Capsicum annuum L.","CN",1957
"47","Capsicum annuum L.","CN",1939
"48","Capsicum annuum var. longum (DC.) Sendtn.","CN",1953
"49","Capsicum annuum var. conoides (Mill.) Irish","CN",1936
"50","Capsicum L.","BR",2006
"51","Capsicum L.","BR",2001
"52","Capsicum L.","BR",1996
"53","Capsicum L.","BR",2006
"54","Capsicum eximium Hunz.","BO",2004
"55","Capsicum annuum L.","CM",2004
"56","Capsicum annuum L.","CM",2002
"57","Capsicum annuum L.","CM",1996
"58","Capsicum frutescens L.","CM",1996
"59","Capsicum annuum L.","CM",1996
"60","Capsicum annuum L.","CM",1996
"61","Capsicum frutescens var. lanicaule Greenm.","MX",1899
"62","Capsicum L.","MX",1938
"63","Capsicum frutescens L.","MX",1935
"64","Capsicum baccatum L.","MX",1935
"65","Capsicum baccatum L.","MX",1907
"66","Capsicum frutescens L.","MX",1910
"67","Capsicum frutescens var. baccatum (L.) Irish","MX",1938
"68","Capsicum grossum Willd.","MX",1911
"69","Capsicum frutescens L.","MX",1933
"70","Capsicum ciliatum (Kunth) Kuntze","MX",1933
"71","Capsicum frutescens L.","MX",1974
"72","Capsicum L.","MX",1987
"73","Capsicum frutescens var. baccatum (L.) Irish","MX",1938
"74","Capsicum rhomboideum (Dunal) Kuntze","MX",1936
"75","Capsicum baccatum L.","MX",1937
"76","Capsicum frutescens L.","MX",1885
"77","Capsicum baccatum L.","MX",1886
"78","Capsicum rhomboideum (Dunal) Kuntze","CO",1980
"79","Capsicum annuum L.","CO",1981
"80","Capsicum annuum L.","ES",2006
"81","Capsicum annuum L.","SE",1995
"82","Capsicum annuum L.","SE",2003
"83","Capsicum annuum L.","SE",2004
"84","Capsicum chinense Jacq.","ES",1999
"85","Capsicum annuum L.","SE",2013
"86","Capsicum annuum var. glabriusculum (Dunal) Heiser & Pickersgill","US",2013
"87","Capsicum annuum var. acuminatum Fingerh.","TW",1932
"88","Capsicum annuum L.","TW",1916
"89","Capsicum annuum L.","TW",1915
"90","Capsicum frutescens L.","TW",1928
"91","Capsicum frutescens L.","TW",1928
"92","Capsicum frutescens L.","TW",1930
"93","Capsicum frutescens L.","TW",1939
"94","Capsicum frutescens L.","TW",1929
"95","Capsicum frutescens L.","TW",1942
"96","Capsicum frutescens L.","TW",1922
"97","Capsicum frutescens L.","TW",1932
"98","Capsicum frutescens L.","TW",1959
"99","Capsicum frutescens L.","TW",1907
"100","Capsicum frutescens L.","TW",1930
"101","Capsicum frutescens L.","TW",1967
"102","Capsicum annuum var. frutescens (L.) Kuntze","TW",1976
"103","Capsicum frutescens L.","TW",1955
"104","Capsicum frutescens L.","TW",1955
"105","Capsicum frutescens L.","TW",1933
"106","Capsicum frutescens L.","TW",1928
"107","Capsicum frutescens L.","TW",1961
"108","Capsicum annuum L.","TW",1986
"109","Capsicum annuum L.","TW",1986
"110","Capsicum annuum L.","TW",1993
"111","Capsicum annuum L.","BJ",2013
"112","Capsicum annuum L.","BJ",2013
"113","Capsicum annuum L.","BJ",2013
"114","Capsicum annuum L.","BJ",2013
"115","Capsicum annuum L.","BJ",2013
"116","Capsicum annuum L.","BJ",2013
"117","Capsicum annuum L.","BJ",2013
"118","Capsicum annuum L.","BJ",2013
"119","Capsicum annuum L.","BJ",2013
"120","Capsicum annuum L.","BJ",2013
"121","Capsicum annuum L.","BJ",2013
"122","Capsicum annuum L.","BJ",2013
"123","Capsicum annuum L.","BJ",2013
"124","Capsicum annuum L.","SE",2004
"125","Capsicum annuum L.","SE",2004
